tau_us,contrast_0pop
0.19999186197916669,0.9876372508943972
0.205078125,0.9688545323699117
0.21016438802083334,1.0911967771855813
0.21525065104166669,0.9442323974956983
0.2203369140625,0.9466095438420612
0.22542317708333334,0.942350560353873
0.23050944010416669,0.996763738851149
0.235595703125,1.0437736254861445
0.24068196614583334,0.9412343146992879
0.24576822916666669,1.0258043039274667
0.2508544921875,0.9754978823679638
0.25594075520833337,0.934340712366075
0.2610270182291667,0.9568417213714571
0.26611328125,0.9862075658042462
0.27119954427083337,1.0646582961216082
0.2762858072916667,0.9086603818054655
0.2813720703125,0.9640734453759301
0.28645833333333337,0.9767572418824548
0.2915445963541667,0.9444527761880908
0.296630859375,1.0255598791933789
0.30171712239583337,0.9838748284966741
0.3068033854166667,0.9308018344833375
0.3118896484375,0.9785533733137979
0.31697591145833337,0.9765427761796603
0.3220621744791667,1.0188465896368157
0.3271484375,0.9020848188875166
0.33223470052083337,0.918197975556263
0.3373209635416667,0.9773849931996844
0.3424072265625,1.0279959491815114
0.34749348958333337,0.9818300028324125
0.3525797526041667,0.9527736422922504
0.357666015625,0.9869311659587581
0.36275227864583337,0.8833828947677467
0.3678385416666667,0.9184465923940421
0.3729248046875,0.9611682017316638
0.37801106770833337,0.9768125181735324
0.3830973307291667,0.8894726293166748
0.38818359375,0.883804387578488
0.39326985677083337,0.948924140792845
0.3983561197916667,1.0046160623542795
0.4034423828125,0.9995013178358436
0.40852864583333337,0.9642547779495971
0.4136149088541667,1.0070068067788418
0.418701171875,0.9268321399735311
0.42378743489583337,0.8939273068985616
0.4288736979166667,0.931274686528067
0.4339599609375,0.9641105019305749
0.43904622395833337,0.9582161618313415
0.4441324869791667,0.9900593821348088
0.44921875,0.9346433211362439
0.45430501302083337,0.9687089703560712
0.4593912760416667,0.9349322170299847
0.4644775390625,0.9789726586245542
0.46956380208333337,0.9957265765757244
0.4746500651041667,0.9617204834449518
0.479736328125,0.9266578655768283
0.48482259114583337,0.9648335471413401
0.4899088541666667,0.9079120612998264
0.4949951171875,0.8414513337288443
0.5000813802083334,0.9027491120674407
0.5051676432291667,0.9278109971777386
0.51025390625,0.9403142799052832
0.5153401692708334,0.8236291752386339
0.5204264322916667,0.8362379872454316
0.5255126953125,0.862447072030914
0.5305989583333334,0.822685567445152
0.5356852213541667,0.7383452082502961
0.540771484375,0.7679123345058487
0.5458577473958334,0.6803177371274296
0.5509440104166667,0.6762587219422702
0.5560302734375,0.6405976338714967
0.5611165364583334,0.5340194919524666
0.5662027994791667,0.3873563479422626
0.5712890625,0.4288112454871385
0.5763753255208334,0.46345666960005194
0.5814615885416667,0.43419956207191024
0.5865478515625,0.47655293179555813
0.5916341145833334,0.5325169838902336
0.5967203776041667,0.516216387285805
0.601806640625,0.4915551013097777
0.6068929036458334,0.5372853718166819
0.6119791666666667,0.5017052215765732
0.6170654296875,0.5101243437730542
0.6221516927083334,0.4988482176957688
0.6272379557291667,0.45694860833031703
0.63232421875,0.5065611108588502
0.6374104817708334,0.520536039141493
0.6424967447916667,0.5760114882287564
0.6475830078125,0.5460882385810193
0.6526692708333334,0.5642630385542033
0.6577555338541667,0.6084327897075411
0.662841796875,0.6802279393727454
0.6679280598958334,0.8525572447342268
0.6730143229166667,0.803185718202499
0.6781005859375,0.881574147110156
0.6831868489583334,0.8467809493404856
0.6882731119791667,0.806692506200283
0.693359375,0.8460566631520672
0.6984456380208334,0.7500660350726087
0.7035319010416667,0.8378526503834625
0.7086181640625,0.9878160449874052
0.7137044270833334,0.85786034865447
0.7187906901041667,0.8091725646846697
0.723876953125,0.9105354101139234
0.7289632161458334,0.7779277414450916
0.7340494791666667,0.9629016711341924
0.7391357421875,0.8359122583555465
0.7442220052083334,0.8539617658302301
0.7493082682291667,0.8628014219706648
0.75439453125,0.8778869995112639
0.7594807942708334,0.9307037177029397
0.7645670572916667,0.8958557355549236
0.7696533203125,0.8131750466600665
0.7747395833333334,0.9487833457297803
0.7798258463541667,0.8590032235539979
0.784912109375,0.847276774352248
0.7899983723958334,0.8699805236839279
0.7950846354166667,0.8761856807135733
0.8001708984375,0.8558309686731798
0.8052571614583334,0.9552856760262143
0.8103434244791667,0.8244016639544169
0.8154296875,0.9146283607975155
0.8205159505208334,0.8434408107170155
0.8256022135416667,0.8149852953104877
0.8306884765625,0.9325936388257936
0.8357747395833334,0.8983472714614851
0.8408610026041667,0.8816974608957167
0.845947265625,0.9834860836655368
0.8510335286458334,0.8624993228733435
0.8561197916666667,0.9823025476586567
0.8612060546875,0.8950045676776142
0.8662923177083334,0.8817945636053275
0.8713785807291667,0.9467608089715016
0.87646484375,0.8973267388451165
0.8815511067708334,0.9143005684247656
0.8866373697916667,0.9444698799258475
0.8917236328125,0.8963600040159286
0.8968098958333334,0.8339968566668003
0.9018961588541667,0.8994065884881394
0.906982421875,0.8944652364779149
0.9120686848958334,0.8763633321128229
0.9171549479166667,0.9100075812774773
