delay_us,signal1_cts_s,signal2_cts_s
0.0,1024.0,1536.0
0.6901041666666667,2048.0,5120.0
0.6998697916666667,512.0,3072.0
0.7096354166666667,2048.0,1536.0
0.7194010416666667,3584.0,2048.0
0.7291666666666667,3072.0,2560.0
0.7389322916666667,1024.0,3072.0
0.7486979166666667,2048.0,4096.0
0.7584635416666667,1024.0,1536.0
0.771484375,4608.0,2560.0
0.78125,2560.0,1024.0
0.791015625,4096.0,6144.0
0.80078125,3072.0,3584.0
0.810546875,2560.0,3072.0
0.8203125,0.0,2560.0
0.830078125,512.0,2560.0
0.83984375,2560.0,3584.0
0.849609375,2560.0,1536.0
0.859375,2560.0,512.0
0.869140625,512.0,2048.0
0.87890625,2560.0,2560.0
0.888671875,2560.0,3584.0
0.8984375,1536.0,512.0
0.9114583333333334,1536.0,2560.0
0.9212239583333334,2560.0,2560.0
0.9309895833333334,3584.0,3072.0
0.9407552083333334,3584.0,1536.0
0.9505208333333334,3072.0,1024.0
0.9602864583333334,1536.0,4608.0
0.9700520833333334,1536.0,5632.0
0.9798177083333334,2560.0,2048.0
0.9895833333333334,2048.0,1536.0
0.9993489583333334,1024.0,1536.0
1.0091145833333335,2048.0,2560.0
1.0188802083333335,2560.0,3072.0
1.0286458333333335,0.0,3584.0
1.0384114583333335,2560.0,4096.0
1.0514322916666667,1536.0,512.0
1.0611979166666667,3072.0,512.0
1.0709635416666667,1024.0,4096.0
1.0807291666666667,3584.0,3584.0
1.0904947916666667,1024.0,1536.0
1.1002604166666667,2048.0,1536.0
1.1100260416666667,2048.0,3072.0
1.1197916666666667,4608.0,3072.0
1.1295572916666667,0.0,512.0
1.1393229166666667,2560.0,2560.0
1.1490885416666667,512.0,3584.0
1.1588541666666667,4608.0,4608.0
1.1686197916666667,25088.0,30720.0
1.1783854166666667,60928.0,68096.0
1.19140625,65536.0,111616.0
1.201171875,72704.0,101888.0
1.2109375,83456.0,127488.0
1.220703125,70144.0,121344.0
1.23046875,64512.0,114176.0
1.240234375,59904.0,110080.0
1.25,58368.0,112640.0
1.259765625,64512.0,120832.0
1.26953125,64512.0,96768.0
1.279296875,67072.0,93696.0
1.2890625,59392.0,94720.0
1.298828125,55296.0,93184.0
1.30859375,68608.0,98816.0
1.3216145833333335,57344.0,90112.0
1.3313802083333335,53248.0,109568.0
1.3411458333333335,60928.0,94208.0
1.3509114583333335,59904.0,90112.0
1.3606770833333335,54272.0,108544.0
1.3704427083333335,61440.0,102912.0
1.3802083333333335,58880.0,82432.0
1.3899739583333335,58368.0,91648.0
1.3997395833333335,67584.0,103424.0
1.4095052083333335,64512.0,105472.0
1.4192708333333335,64000.0,96256.0
1.4290364583333335,74752.0,91648.0
1.4388020833333335,60928.0,91136.0
1.4485677083333335,71680.0,98304.0
1.4615885416666667,68096.0,98304.0
1.4713541666666667,67584.0,91136.0
1.4811197916666667,64000.0,94720.0
1.4908854166666667,60416.0,103424.0
1.5006510416666667,67072.0,95232.0
1.5104166666666667,73728.0,95744.0
1.5201822916666667,66048.0,84480.0
1.5299479166666667,66560.0,99840.0
1.5397135416666667,73216.0,102912.0
1.5494791666666667,70656.0,93696.0
1.5592447916666667,74752.0,95232.0
1.5690104166666667,62976.0,95232.0
1.5787760416666667,78848.0,111104.0
1.5885416666666667,81408.0,95744.0
1.6015625,80896.0,82432.0
1.611328125,67584.0,78848.0
1.62109375,73728.0,89600.0
1.630859375,71680.0,98816.0
1.640625,75776.0,82432.0
1.650390625,85504.0,87552.0
1.66015625,82432.0,93696.0
1.669921875,74240.0,83456.0
1.6796875,62976.0,93696.0
1.689453125,73728.0,97792.0
1.69921875,76288.0,90112.0
1.708984375,74240.0,97792.0
1.71875,86528.0,96256.0
1.728515625,70144.0,85504.0
1.7415364583333335,90112.0,90112.0
1.7513020833333335,79360.0,82944.0
1.7610677083333335,67584.0,101888.0
1.7708333333333335,92672.0,97792.0
1.7805989583333335,82432.0,88576.0
1.7903645833333335,77824.0,92672.0
1.8001302083333335,75264.0,90112.0
1.8098958333333335,66560.0,102400.0
1.8196614583333335,84480.0,99328.0
1.8294270833333335,79872.0,86016.0
1.8391927083333335,88576.0,94208.0
1.8489583333333335,73216.0,90624.0
1.8587239583333335,92672.0,91648.0
1.8684895833333335,88064.0,93696.0
1.8815104166666667,84480.0,84992.0
1.8912760416666667,73728.0,87040.0
1.9010416666666667,79872.0,85504.0
1.9108072916666667,68608.0,92672.0
1.9205729166666667,80384.0,90112.0
1.9303385416666667,73216.0,89600.0
1.9401041666666667,70656.0,92672.0
1.9498697916666667,81920.0,90624.0
1.9596354166666667,94208.0,92160.0
1.9694010416666667,96256.0,92672.0
1.9791666666666667,80896.0,90624.0
1.9889322916666667,77824.0,82432.0
1.9986979166666667,77312.0,83968.0
2.008463541666667,82432.0,77824.0
2.021484375,73728.0,91136.0
2.03125,81920.0,73728.0
2.041015625,80896.0,88064.0
2.05078125,81408.0,94208.0
2.060546875,68096.0,69632.0
2.0703125,83456.0,99840.0
2.080078125,82432.0,90112.0
