tau_us,signal_norm
0.20080566406250003,0.9889293111759038
0.20589192708333334,0.9509210120436018
0.21097819010416669,1.0075153371747367
0.21606445312500003,1.0453243263747276
0.22115071614583334,0.9786230262116672
0.22623697916666669,0.9680755017384145
0.23132324218750003,0.9995863114536756
0.23640950520833334,1.025137045053135
0.24149576822916669,0.9860846983796259
0.24658203125000003,1.0687000687617871
0.2516682942708333,0.9861966607397528
0.2567545572916667,0.9558253476145108
0.2618408203125,1.0323303448963332
0.2669270833333333,0.9975234869512528
0.2720133463541667,1.071930665560664
0.277099609375,0.9950007837637681
0.2821858723958333,0.9697720428462768
0.2872721354166667,1.0241325943962303
0.2923583984375,1.0457272400437798
0.2974446614583333,1.1188843181957195
0.3025309244791667,1.0441343312083253
0.3076171875,0.9778301290516004
0.3127034505208333,0.951433546032542
0.3177897135416667,1.0357927611003341
0.3228759765625,1.0029586583299324
0.3279622395833333,1.0258204611085473
0.3330485026041667,1.0001897298906686
0.338134765625,1.0059501180920507
0.3432210286458333,1.0037914246738158
0.3483072916666667,0.9401288625102107
0.3533935546875,1.0643636538645558
0.3584798177083333,1.0077826341324192
0.3635660807291667,1.00485546837134
0.36865234375,0.9738084616297957
0.3737386067708333,1.0016129681017953
0.3788248697916667,1.0361142548355777
0.3839111328125,1.0747825467079966
0.3889973958333333,1.06180067764558
0.3940836588541667,0.9579029732930615
0.399169921875,1.0157246875882628
0.4042561848958333,0.9824576787426427
0.4093424479166667,1.030589561005024
0.4144287109375,1.0175806716764946
0.4195149739583333,0.9977304444423531
0.4246012369791667,0.9971372317565421
0.4296875,1.0558062162750543
0.4347737630208333,0.985239958158938
0.4398600260416667,0.9403742920294408
0.4449462890625,1.0098456318319204
0.4500325520833333,0.9434578461186284
0.4551188151041667,1.011235522736343
0.460205078125,1.005739466030019
0.4652913411458333,1.0056237543351956
0.4703776041666667,0.9022111113291718
0.4754638671875,0.943331388712791
0.4805501302083333,1.0029704751054482
0.4856363932291667,1.0128850873479989
0.49072265625,1.0067505774210157
0.4958089192708333,0.9658002250641982
0.5008951822916667,0.9752445427282459
0.5059814453125001,0.9945789251039948
0.5110677083333334,0.9601760839992199
0.5161539713541667,0.9174962330614003
0.5212402343750001,0.9331378792715418
0.5263264973958334,0.9370048656700658
0.5314127604166667,0.9087972439998406
0.5364990234375001,0.9291947019729678
0.5415852864583334,0.8672415201545871
0.5466715494791667,0.763293772614947
0.5517578125000001,0.7482732759869011
0.5568440755208334,0.7194425816575031
0.5619303385416667,0.678358897050785
0.5670166015625001,0.5335879890920975
0.5721028645833334,0.4763291076555954
0.5771891276041667,0.5235574283298856
0.5822753906250001,0.4771807471368523
0.5873616536458334,0.5160536959487155
0.5924479166666667,0.5609285739093337
0.5975341796875001,0.5084670097675215
0.6026204427083334,0.5249147503912475
0.6077067057291667,0.49039218469077417
0.6127929687500001,0.5433268541694686
0.6178792317708334,0.5199077962558909
0.6229654947916667,0.5730143143972606
0.6280517578125001,0.5193797702707822
0.6331380208333334,0.5167286036630075
0.6382242838541667,0.49217916209394746
