run_name,tau_us,signal_norm
run_20260324_222413,0.39510091145833337,1.087612853482129
run_20260324_222413,0.4001871744791667,1.0820435532095836
run_20260324_222413,0.4052734375,0.9968875596226099
run_20260324_222413,0.41035970052083337,0.975337990526409
run_20260324_222413,0.4154459635416667,0.9976105130247264
run_20260324_222413,0.4205322265625,0.9545682803230082
run_20260324_222413,0.42561848958333337,1.0479063998560245
run_20260324_222413,0.4307047526041667,1.0145209017767627
run_20260324_222413,0.435791015625,0.9997714895240066
run_20260324_222413,0.44087727864583337,1.0960804073111552
run_20260324_222413,0.4459635416666667,1.0615718902082092
run_20260324_222413,0.4510498046875,0.9539674072360085
run_20260324_222413,0.45613606770833337,1.005682325392013
run_20260324_222413,0.4612223307291667,1.0522891474929617
run_20260324_222413,0.46630859375,0.9248205163264459
run_20260324_222413,0.47139485677083337,1.007770105182313
run_20260324_222413,0.4764811197916667,1.0065128372189907
run_20260324_222413,0.4815673828125,1.0386860261226263
run_20260324_222413,0.48665364583333337,1.01653044485326
run_20260324_222413,0.4917399088541667,0.9326979850550762
run_20260324_222413,0.496826171875,1.007283683518767
run_20260324_222413,0.5019124348958334,0.934914581642555
run_20260324_222413,0.5069986979166667,0.9732189166893143
run_20260324_222413,0.5120849609375,1.0134286925980809
run_20260324_222413,0.5171712239583334,0.9683915223771302
run_20260324_222413,0.5222574869791667,0.9400163378059564
run_20260324_222413,0.52734375,0.8933014230430272
run_20260324_222413,0.5324300130208334,0.8479476724458614
run_20260324_222413,0.5375162760416667,0.8739555395231877
run_20260324_222413,0.5426025390625,0.7833582633042887
run_20260324_222413,0.5476888020833334,0.7175902445802897
run_20260324_222413,0.5527750651041667,0.7604108379483431
run_20260324_222413,0.557861328125,0.6017874327109998
run_20260324_222413,0.5629475911458334,0.4798355530387764
run_20260324_222413,0.5680338541666667,0.47495667361369054
run_20260324_222413,0.5731201171875,0.5156361526965314
run_20260324_222413,0.5782063802083334,0.5364749489185439
run_20260324_222413,0.5832926432291667,0.48395435704839057
run_20260324_222413,0.58837890625,0.5499219095624398
run_20260324_222413,0.5934651692708334,0.5350861527959603
run_20260324_222413,0.5985514322916667,0.5681373646746531
run_20260324_222413,0.6036376953125,0.5912771788266599
run_20260324_222413,0.6087239583333334,0.5702751235594767
run_20260324_222413,0.6138102213541667,0.5592568969582591
run_20260324_222413,0.618896484375,0.5625120078503077
run_20260324_222413,0.6239827473958334,0.5019071689964621
run_20260324_222413,0.6290690104166667,0.5246652858251513
run_20260324_222413,0.6341552734375,0.47559236483272715
run_20260324_222413,0.6392415364583334,0.5063694601118184
run_20260324_222413,0.6443277994791667,0.6238355357394767
run_20260324_222413,0.6494140625,0.6452409214482765
run_20260324_222413,0.6545003255208334,0.5881605641243125
run_20260324_222413,0.6595865885416667,0.6445176647507387
run_20260324_222413,0.6646728515625,0.7710853979153123
run_20260324_222413,0.6697591145833334,0.8123031880818115
run_20260324_222413,0.6748453776041667,0.8956328731973776
run_20260324_222413,0.679931640625,0.8718160609743388
run_20260324_222413,0.6850179036458334,0.7992279648785663
run_20260324_222413,0.6901041666666667,0.8380582226777016
run_20260324_222413,0.6951904296875,0.7916497870744916
run_20260324_222413,0.7002766927083334,0.89483562700568
run_20260324_222413,0.7053629557291667,0.8346598961092736
run_20260324_222413,0.71044921875,0.8883770631301677
run_20260324_222413,0.7155354817708334,0.8823807076168028
run_20260324_222413,0.7206217447916667,0.9617387992588948
run_20260324_222413,0.7257080078125,0.9092171746959989
run_20260324_222413,0.7307942708333334,0.7645982030756657
