# Time(s),Voltage(V)
9.687500000000000474e-12,-1.600000000000000077e-03
2.968750000000000088e-11,-2.400000000000000223e-03
4.968749999999999644e-11,-1.600000000000000077e-03
6.968749999999999846e-11,-1.600000000000000077e-03
8.968749999999999402e-11,-8.000000000000000383e-04
1.096874999999999896e-10,-1.600000000000000077e-03
1.296874999999999981e-10,-8.000000000000000383e-04
1.496874999999999807e-10,-8.000000000000000383e-04
1.696874999999999892e-10,0.000000000000000000e+00
1.896874999999999977e-10,0.000000000000000000e+00
2.096874999999999803e-10,0.000000000000000000e+00
2.296874999999999888e-10,8.000000000000000383e-04
2.496875000000000231e-10,8.000000000000000383e-04
2.696875000000000057e-10,8.000000000000000383e-04
2.896874999999999884e-10,1.600000000000000077e-03
3.096875000000000227e-10,1.600000000000000077e-03
3.296875000000000053e-10,1.600000000000000077e-03
3.496874999999999880e-10,2.400000000000000223e-03
3.696875000000000223e-10,2.400000000000000223e-03
3.896875000000000049e-10,2.400000000000000223e-03
4.096874999999999876e-10,2.400000000000000223e-03
4.296875000000000219e-10,2.400000000000000223e-03
4.496875000000000045e-10,1.600000000000000077e-03
4.696874999999999872e-10,1.600000000000000077e-03
4.896875000000000215e-10,1.600000000000000077e-03
5.096874999999999525e-10,8.000000000000000383e-04
5.296874999999999868e-10,8.000000000000000383e-04
5.496875000000000211e-10,0.000000000000000000e+00
5.696874999999999521e-10,0.000000000000000000e+00
5.896874999999999864e-10,-8.000000000000000383e-04
6.096875000000000207e-10,-8.000000000000000383e-04
6.296874999999999517e-10,-8.000000000000000383e-04
6.496874999999999860e-10,-8.000000000000000383e-04
6.696875000000000203e-10,-1.600000000000000077e-03
6.896874999999999513e-10,-1.600000000000000077e-03
7.096874999999999856e-10,-2.400000000000000223e-03
7.296875000000000199e-10,-1.600000000000000077e-03
7.496874999999999509e-10,-1.600000000000000077e-03
7.696874999999999852e-10,-2.400000000000000223e-03
7.896875000000000195e-10,-2.400000000000000223e-03
8.096874999999999505e-10,-1.600000000000000077e-03
8.296874999999999848e-10,-1.600000000000000077e-03
8.496875000000000191e-10,-8.000000000000000383e-04
8.696874999999999501e-10,-8.000000000000000383e-04
8.896874999999999844e-10,0.000000000000000000e+00
9.096875000000000187e-10,0.000000000000000000e+00
9.296874999999999497e-10,8.000000000000000383e-04
9.496874999999998806e-10,8.000000000000000383e-04
9.696875000000000183e-10,1.600000000000000077e-03
9.896874999999999493e-10,1.600000000000000077e-03
1.009687499999999880e-09,1.600000000000000077e-03
1.029687500000000018e-09,2.400000000000000223e-03
1.049687499999999949e-09,2.400000000000000223e-03
1.069687499999999880e-09,2.400000000000000223e-03
1.089687500000000018e-09,3.200000000000000153e-03
1.109687499999999948e-09,3.200000000000000153e-03
1.129687499999999879e-09,3.200000000000000153e-03
1.149687500000000017e-09,2.400000000000000223e-03
1.169687499999999948e-09,2.400000000000000223e-03
1.189687499999999879e-09,2.400000000000000223e-03
1.209687500000000017e-09,1.600000000000000077e-03
1.229687499999999948e-09,1.600000000000000077e-03
