# Time(s),Voltage(V)
2.734374999999999847e-12,8.000000000000000383e-04
2.273437499999999743e-11,8.000000000000000383e-04
4.273437499999999622e-11,8.000000000000000383e-04
6.273437499999999824e-11,8.000000000000000383e-04
8.273437499999999380e-11,8.000000000000000383e-04
1.027343749999999894e-10,8.000000000000000383e-04
1.227343749999999978e-10,8.000000000000000383e-04
1.427343749999999805e-10,8.000000000000000383e-04
1.627343749999999890e-10,8.000000000000000383e-04
1.827343749999999974e-10,8.000000000000000383e-04
2.027343749999999801e-10,8.000000000000000383e-04
2.227343749999999886e-10,8.000000000000000383e-04
2.427343749999999970e-10,8.000000000000000383e-04
2.627343749999999797e-10,8.000000000000000383e-04
2.827343749999999623e-10,8.000000000000000383e-04
3.027343749999999966e-10,8.000000000000000383e-04
3.227343749999999793e-10,8.000000000000000383e-04
3.427343749999999619e-10,8.000000000000000383e-04
3.627343749999999962e-10,0.000000000000000000e+00
3.827343749999999789e-10,8.000000000000000383e-04
4.027343749999999615e-10,8.000000000000000383e-04
4.227343749999999958e-10,0.000000000000000000e+00
4.427343749999999785e-10,0.000000000000000000e+00
4.627343749999999611e-10,8.000000000000000383e-04
4.827343749999999954e-10,8.000000000000000383e-04
5.027343749999999264e-10,0.000000000000000000e+00
5.227343749999999607e-10,0.000000000000000000e+00
5.427343749999999950e-10,8.000000000000000383e-04
5.627343749999999260e-10,8.000000000000000383e-04
5.827343749999999603e-10,8.000000000000000383e-04
6.027343749999999946e-10,8.000000000000000383e-04
6.227343749999999256e-10,8.000000000000000383e-04
6.427343749999999599e-10,8.000000000000000383e-04
6.627343749999999942e-10,1.600000000000000077e-03
6.827343749999999252e-10,1.600000000000000077e-03
7.027343749999999595e-10,8.000000000000000383e-04
7.227343749999999938e-10,8.000000000000000383e-04
7.427343749999999248e-10,1.600000000000000077e-03
7.627343749999999591e-10,1.600000000000000077e-03
7.827343749999999934e-10,8.000000000000000383e-04
8.027343749999999244e-10,8.000000000000000383e-04
8.227343749999999587e-10,8.000000000000000383e-04
8.427343749999999930e-10,8.000000000000000383e-04
8.627343749999999240e-10,8.000000000000000383e-04
8.827343749999999583e-10,8.000000000000000383e-04
9.027343749999999927e-10,0.000000000000000000e+00
9.227343749999999236e-10,0.000000000000000000e+00
9.427343749999998545e-10,8.000000000000000383e-04
9.627343749999999923e-10,8.000000000000000383e-04
9.827343749999999232e-10,0.000000000000000000e+00
1.002734374999999854e-09,0.000000000000000000e+00
1.022734374999999992e-09,8.000000000000000383e-04
1.042734374999999923e-09,8.000000000000000383e-04
1.062734374999999854e-09,8.000000000000000383e-04
1.082734374999999991e-09,0.000000000000000000e+00
1.102734374999999922e-09,8.000000000000000383e-04
1.122734374999999853e-09,8.000000000000000383e-04
1.142734374999999991e-09,8.000000000000000383e-04
1.162734374999999922e-09,8.000000000000000383e-04
1.182734374999999853e-09,8.000000000000000383e-04
1.202734374999999991e-09,8.000000000000000383e-04
1.222734374999999922e-09,8.000000000000000383e-04
1.242734374999999853e-09,8.000000000000000383e-04
1.262734374999999990e-09,8.000000000000000383e-04
1.282734374999999921e-09,8.000000000000000383e-04
1.302734374999999852e-09,8.000000000000000383e-04
1.322734374999999990e-09,8.000000000000000383e-04
1.342734374999999921e-09,8.000000000000000383e-04
1.362734374999999852e-09,8.000000000000000383e-04
1.382734374999999989e-09,8.000000000000000383e-04
1.402734374999999920e-09,8.000000000000000383e-04
1.422734374999999851e-09,8.000000000000000383e-04
1.442734374999999989e-09,8.000000000000000383e-04
1.462734374999999920e-09,8.000000000000000383e-04
1.482734374999999851e-09,8.000000000000000383e-04
1.502734374999999989e-09,8.000000000000000383e-04
1.522734374999999920e-09,8.000000000000000383e-04
1.542734374999999851e-09,8.000000000000000383e-04
1.562734374999999988e-09,8.000000000000000383e-04
1.582734374999999919e-09,0.000000000000000000e+00
1.602734374999999850e-09,8.000000000000000383e-04
1.622734374999999988e-09,8.000000000000000383e-04
1.642734374999999919e-09,8.000000000000000383e-04
1.662734374999999850e-09,0.000000000000000000e+00
1.682734374999999987e-09,8.000000000000000383e-04
1.702734374999999918e-09,8.000000000000000383e-04
1.722734374999999849e-09,8.000000000000000383e-04
1.742734374999999987e-09,0.000000000000000000e+00
1.762734374999999918e-09,8.000000000000000383e-04
1.782734374999999849e-09,8.000000000000000383e-04
1.802734374999999987e-09,8.000000000000000383e-04
1.822734374999999918e-09,0.000000000000000000e+00
1.842734374999999849e-09,0.000000000000000000e+00
1.862734374999999986e-09,0.000000000000000000e+00
1.882734374999999917e-09,0.000000000000000000e+00
1.902734375000000262e-09,0.000000000000000000e+00
1.922734375000000193e-09,0.000000000000000000e+00
1.942734375000000124e-09,0.000000000000000000e+00
1.962734375000000055e-09,0.000000000000000000e+00
1.982734374999999985e-09,0.000000000000000000e+00
2.002734374999999916e-09,0.000000000000000000e+00
2.022734375000000261e-09,0.000000000000000000e+00
2.042734375000000192e-09,0.000000000000000000e+00
2.062734375000000123e-09,0.000000000000000000e+00
2.082734375000000054e-09,0.000000000000000000e+00
2.102734374999999985e-09,0.000000000000000000e+00
2.122734374999999916e-09,0.000000000000000000e+00
2.142734375000000260e-09,0.000000000000000000e+00
2.162734375000000191e-09,0.000000000000000000e+00
2.182734375000000122e-09,0.000000000000000000e+00
2.202734375000000053e-09,8.000000000000000383e-04
2.222734374999999984e-09,8.000000000000000383e-04
2.242734374999999915e-09,8.000000000000000383e-04
2.262734375000000259e-09,0.000000000000000000e+00
2.282734375000000190e-09,8.000000000000000383e-04
2.302734375000000121e-09,8.000000000000000383e-04
2.322734375000000052e-09,8.000000000000000383e-04
2.342734374999999983e-09,0.000000000000000000e+00
2.362734374999999914e-09,8.000000000000000383e-04
2.382734375000000259e-09,8.000000000000000383e-04
