bootstrap_index,signal,reference
1.0,174764.30769230766,213675.32307692303
2.0,175009.47692307687,212936.8615384615
3.0,177496.61538461535,213734.39999999997
4.0,177564.5538461538,212865.96923076917
5.0,175588.43076923073,213223.38461538457
6.0,175186.70769230765,213669.41538461533
7.0,174492.5538461538,212671.01538461534
8.0,174793.84615384613,213509.90769230764
9.0,175948.79999999996,212112.73846153842
10.0,177168.73846153842,213072.73846153842
11.0,174445.29230769226,213690.09230769225
12.0,174687.50769230764,212857.10769230765
