bootstrap_index,signal,reference
1.0,169423.75384615382,207191.63076923072
2.0,167701.6615384615,205965.78461538456
3.0,170747.07692307688,205599.50769230764
4.0,169881.59999999998,204595.19999999995
5.0,167698.70769230765,203413.66153846149
6.0,167323.5692307692,205407.50769230764
7.0,166715.07692307688,204045.78461538456
8.0,167937.9692307692,203629.29230769226
9.0,168124.0615384615,203791.7538461538
10.0,168915.69230769228,204536.12307692305
11.0,164375.63076923075,201322.33846153843
12.0,165090.4615384615,202273.47692307687
