chunk_end_utc,chunk_file,chunk_plot_file,chunk_reps,chunk_start_utc,contrast_mean,cumulative_plot_file,cycle_index,loop_avg_cycle_s,loop_elapsed_s,loop_eta_finish_local,loop_eta_remaining_s,pre_chunk_reopt_mean_delta_cts_s,pre_chunk_reopt_status,reference_mean_cts_s,remaining_reps_after_chunk,reopt_fit_success_fraction,reopt_mean_delta_cts_s,reopt_mean_final_cts_s,reopt_status,reopt_x_um,reopt_y_um,reopt_z_um,run_id,signal_mean_cts_s,signal_median_cts_s,timestamp
2026-03-21T11:30:46,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_043045.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_010.png,5000,2026-03-21T11:12:24,0.893185556105514,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_010.png,10,1138.253,12520.782,2026-03-21 07:22:07,10244.276,4256.666666666667,success,213563.46507631656,45000,1.0,3823.3333333333335,253510.0,success,-2.260680808080806,-1.831757575757573,-3.4640909090909107,20260321_010242,190207.50833922974,190227.69230769228,20260321_043045
2026-03-21T11:49:44,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_044944.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_011.png,5000,2026-03-21T11:31:23,0.8970441544783635,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_011.png,11,1138.258,13659.097,2026-03-21 07:22:07,9106.065,3823.3333333333335,success,214107.65591832608,40000,1.0,2063.3333333333335,253833.33333333334,success,-2.361690909090907,-1.7913535353535326,-3.7671212121212134,20260321_010242,191547.41332255126,191409.23076923075,20260321_044944
2026-03-21T12:08:43,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_050842.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_012.png,5000,2026-03-21T11:50:21,0.8911281639585769,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_012.png,12,1138.275,14797.575,2026-03-21 07:22:07,7967.925,2063.3333333333335,success,217331.65672697866,35000,1.0,3386.6666666666665,255470.0,success,-2.4222969696969674,-1.7913535353535326,-3.565101010101012,20260321_010242,193174.55170322442,192590.7692307692,20260321_050842
2026-03-21T12:27:41,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_052741.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_013.png,5000,2026-03-21T12:09:19,0.895506062279348,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_013.png,13,1138.279,15935.907,2026-03-21 07:22:07,6829.674,3386.6666666666665,success,214114.64267664004,30000,1.0,1850.0,253173.33333333334,success,-2.503105050505048,-1.8115555555555527,-3.7671212121212125,20260321_010242,191192.64126149804,190818.4615384615,20260321_052741
2026-03-21T12:46:39,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_054639.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_014.png,5000,2026-03-21T12:28:18,0.8970820582996251,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_014.png,14,1138.281,17074.221,2026-03-21 07:22:07,5691.407,1850.0,success,215402.5351258465,25000,1.0,4683.333333333333,252743.33333333334,success,-2.6041151515151486,-1.7913535353535326,-4.070151515151516,20260321_010242,192666.8472657434,193181.53846153844,20260321_054639
2026-03-21T13:05:38,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_060537.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_015.png,5000,2026-03-21T12:47:16,0.895154415244055,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_015.png,15,1138.283,18212.528,2026-03-21 07:22:07,4553.132,4683.333333333333,success,214312.60082886883,20000,1.0,4400.0,250346.66666666666,success,-2.6647212121212087,-1.8115555555555525,-3.868131313131313,20260321_010242,191347.12625088447,191409.23076923075,20260321_060537
2026-03-21T13:24:36,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_062436.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_016.png,5000,2026-03-21T13:06:14,0.8941908842788338,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_016.png,16,1138.284,19350.825,2026-03-21 07:22:07,3414.851,4400.0,success,214883.9623976549,15000,1.0,4356.666666666667,250780.0,success,-2.76573131313131,-1.8519595959595927,-3.6661111111111104,20260321_010242,191586.22864651773,191409.23076923075,20260321_062436
2026-03-21T13:43:34,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_064334.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_017.png,5000,2026-03-21T13:25:13,0.8930368296895058,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_017.png,17,1138.287,20489.158,2026-03-21 07:22:08,2276.573,4356.666666666667,success,209179.66238754673,10000,1.0,4516.666666666667,248043.33333333334,success,-2.7657313131313095,-1.7105454545454513,-4.070151515151515,20260321_010242,186258.437278884,186092.30769230766,20260321_064334
2026-03-21T14:02:32,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_070232.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_018.png,5000,2026-03-21T13:44:11,0.8929430124280071,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_018.png,18,1138.287,21627.447,2026-03-21 07:22:08,1138.287,4516.666666666667,success,213734.25250176887,5000,1.0,5556.666666666667,251563.33333333334,success,-2.7657313131313095,-1.5893333333333297,-3.969141414141415,20260321_010242,190344.91458607092,190227.69230769228,20260321_070232
2026-03-21T14:21:31,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\cpmg_xy_fine_res_chunk_20260321_072130.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\chunk_cts_cycle_019.png,5000,2026-03-21T14:03:09,0.8932457454746728,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_010242\plots\cumulative_cycle_019.png,19,1136.447,22728.943,2026-03-21 07:21:31,0.0,5556.666666666667,success,216729.24289901953,0,,,,skipped,,,,20260321_010242,193063.53987668044,193181.53846153844,20260321_072130
