chunk_end_utc,chunk_file,chunk_plot_file,chunk_reps,chunk_start_utc,contrast_mean,cumulative_plot_file,cycle_index,loop_avg_cycle_s,loop_elapsed_s,loop_eta_finish_local,loop_eta_remaining_s,pre_chunk_reopt_mean_delta_cts_s,pre_chunk_reopt_status,reference_mean_cts_s,remaining_reps_after_chunk,reopt_fit_success_fraction,reopt_mean_delta_cts_s,reopt_mean_final_cts_s,reopt_status,reopt_x_um,reopt_y_um,reopt_z_um,run_id,signal_mean_cts_s,signal_median_cts_s,timestamp
2026-03-22T10:27:18+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_032718.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_000.png,5000,2026-03-22T10:17:06+00:00,0.8416301628107576,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_000.png,0,648.682,648.682,2026-03-22 06:53:20,12324.964,,manual_initial,223701.47716825004,95000,1.0,3280.0,258916.66666666666,success,-2.88,-1.0778199999999998,-3.737979797979799,20260322_031705,187782.237205026,187273.84615384613,20260322_032718
2026-03-22T10:38:07+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_033806.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_001.png,5000,2026-03-22T10:27:55+00:00,0.8383801089500776,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_001.png,1,648.595,1297.19,2026-03-22 06:53:18,11674.706,3280.0,success,224167.5022984983,90000,1.0,2596.6666666666665,260153.33333333334,success,-2.88,-1.0576179797979797,-3.8389898989899,20260322_031705,187335.04137296963,186683.07692307688,20260322_033806
2026-03-22T10:48:55+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_034855.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_002.png,5000,2026-03-22T10:38:43+00:00,0.8471654195275772,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_002.png,2,648.582,1945.747,2026-03-22 06:53:18,11025.899,2596.6666666666665,success,224360.5026049647,85000,1.0,3516.6666666666665,259763.33333333334,success,-2.90020202020202,-1.07782,-3.9400000000000013,20260322_031705,189559.25222188167,188455.3846153846,20260322_034855
2026-03-22T10:59:44+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_035944.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_003.png,5000,2026-03-22T10:49:32+00:00,0.8395385011441557,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_003.png,3,648.564,2594.257,2026-03-22 06:53:17,10377.027,3516.6666666666665,success,225469.07753600975,80000,1.0,2620.0,260303.33333333334,success,-2.90020202020202,-1.0374159595959593,-3.737979797979799,20260322_031705,188697.81182960462,188455.3846153846,20260322_035944
2026-03-22T11:10:32+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_041032.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_004.png,5000,2026-03-22T11:00:20+00:00,0.8384556513365481,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_004.png,4,648.547,3242.736,2026-03-22 06:53:17,9728.209,2620.0,success,225059.54030033707,75000,1.0,3353.3333333333335,262446.6666666667,success,-2.8395959595959592,-1.0374159595959593,-3.737979797979799,20260322_031705,188182.3597916028,188455.3846153846,20260322_041032
2026-03-22T11:21:21+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_042121.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_005.png,5000,2026-03-22T11:11:09+00:00,0.8419211677682832,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_005.png,5,648.56,3891.359,2026-03-22 06:53:17,9079.838,3353.3333333333335,success,226994.25068954946,70000,1.0,3516.6666666666665,261413.33333333334,success,-2.819393939393939,-0.9768098989898986,-3.9400000000000013,20260322_031705,190611.33925835116,191409.23076923075,20260322_042121
2026-03-22T11:32:09+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_043209.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_006.png,5000,2026-03-22T11:21:57+00:00,0.8398524243785513,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_006.png,6,648.559,4539.912,2026-03-22 06:53:17,8431.265,3516.6666666666665,success,226958.94575543975,65000,1.0,2986.6666666666665,261566.66666666666,success,-2.758787878787878,-1.0374159595959591,-3.7379797979797997,20260322_031705,190048.8139748697,190227.69230769228,20260322_043209
2026-03-22T11:42:58+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_044258.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_007.png,5000,2026-03-22T11:32:46+00:00,0.8401560215844334,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_007.png,7,648.56,5188.484,2026-03-22 06:53:17,7782.726,2986.6666666666665,success,225760.9316579834,60000,1.0,2943.3333333333335,262946.6666666667,success,-2.7991919191919177,-0.9768098989898986,-3.7379797979797997,20260322_031705,189217.97119215442,189636.92307692303,20260322_044258
2026-03-22T11:53:47+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_045346.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_008.png,5000,2026-03-22T11:43:35+00:00,0.8376617192047784,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_008.png,8,648.564,5837.074,2026-03-22 06:53:17,7134.202,2943.3333333333335,success,226897.75053631625,55000,1.0,3883.3333333333335,262653.3333333333,success,-2.778989898989897,-0.9566078787878781,-3.7379797979797997,20260322_031705,189587.49616916946,190227.69230769228,20260322_045346
2026-03-22T12:04:35+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_050435.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_009.png,5000,2026-03-22T11:54:23+00:00,0.8446954509458969,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_009.png,9,648.556,6485.559,2026-03-22 06:53:17,6485.559,3883.3333333333335,success,224009.80692614158,50000,1.0,4380.0,261386.66666666666,success,-2.6779797979797957,-0.9566078787878778,-3.940000000000002,20260322_031705,188749.5923996322,187864.61538461535,20260322_050435
2026-03-22T12:15:24+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_051523.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_010.png,5000,2026-03-22T12:05:12+00:00,0.8373729749231528,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_010.png,10,648.554,7134.091,2026-03-22 06:53:17,5836.983,4380.0,success,224915.96690162423,45000,1.0,3143.3333333333335,261143.33333333334,success,-2.7385858585858562,-0.9162038383838371,-3.6369696969696985,20260322_031705,187857.5543977934,188455.3846153846,20260322_051523
2026-03-22T12:26:12+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_052612.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_011.png,5000,2026-03-22T12:16:00+00:00,0.8385944177366639,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_011.png,11,648.555,7782.663,2026-03-22 06:53:17,5188.442,3143.3333333333335,success,222978.90285013788,40000,1.0,4486.666666666667,262346.6666666667,success,-2.5971717171717144,-0.916203838383837,-3.838989898989901,20260322_031705,186391.22280110323,185501.53846153844,20260322_052612
2026-03-22T12:37:01+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_053700.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_012.png,5000,2026-03-22T12:26:49+00:00,0.8437016717166574,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_012.png,12,648.556,8431.223,2026-03-22 06:53:17,4539.889,4486.666666666667,success,224965.39380937783,35000,1.0,2630.0,260730.0,success,-2.6173737373737342,-0.8555977777777762,-3.434949494949496,20260322_031705,189382.7275513331,190227.69230769228,20260322_053700
2026-03-22T12:47:49+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_054749.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_013.png,5000,2026-03-22T12:37:37+00:00,0.8388230596280218,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_013.png,13,648.556,9079.778,2026-03-22 06:53:17,3891.333,2630.0,success,222595.25589947894,30000,1.0,3050.0,260453.33333333334,success,-2.597171717171714,-0.8353957575757558,-3.737979797979799,20260322_031705,186254.71038921236,186683.07692307688,20260322_054749
2026-03-22T12:58:38+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\cpmg_xy_fine_res_chunk_20260322_055838.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\chunk_cts_cycle_014.png,5000,2026-03-22T12:48:26+00:00,0.8454165331854839,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260322_031705\plots\cumulative_cycle_014.png,14,648.555,9728.327,2026-03-22 06:53:17,3242.776,3050.0,success,223929.7824088262,25000,1.0,4016.6666666666665,259110.0,success,-2.576969696969693,-0.8151937373737355,-3.6369696969696976,20260322_031705,188817.84860557766,190227.69230769228,20260322_055838
