time,ch1,ch2
1.940767692684806e-06,-2.8499999940395355,0.0
1.9411676926901466e-06,-1.8499999940395355,-0.019999999552965164
1.941567692695487e-06,-1.8499999940395355,-0.019999999552965164
1.9419676927008278e-06,-1.8499999940395355,0.0
1.9423676927061683e-06,-1.8499999940395355,0.0
1.942767692711509e-06,-1.8499999940395355,0.0
1.9431676927168495e-06,-1.8499999940395355,0.0
1.94356769272219e-06,-1.8499999940395355,0.0
1.9439676927275306e-06,-1.8499999940395355,0.0
1.944367692732871e-06,-1.8499999940395355,0.0
1.9447676927382118e-06,-1.8499999940395355,0.0
1.9451676927435523e-06,-1.8499999940395355,0.0
1.945567692748893e-06,-1.8499999940395355,-0.019999999552965164
1.9459676927542335e-06,-1.8499999940395355,-0.019999999552965164
1.946367692759574e-06,-1.8499999940395355,-0.019999999552965164
1.9467676927649146e-06,-1.8499999940395355,-0.019999999552965164
1.947167692770255e-06,-1.8499999940395355,-0.019999999552965164
1.9475676927755958e-06,-1.8499999940395355,0.0
1.9479676927809364e-06,-1.8499999940395355,0.0
1.948367692786277e-06,-1.8499999940395355,0.0
1.9487676927916175e-06,-2.8499999940395355,-0.019999999552965164
1.949167692796958e-06,-1.8499999940395355,-0.03999999910593033
1.9495676928022986e-06,-0.8499999940395355,-0.019999999552965164
1.9499676928076392e-06,-1.8499999940395355,0.0
1.95036769281298e-06,-0.8499999940395355,0.0
1.9507676928183204e-06,-0.8499999940395355,0.0
1.951167692823661e-06,-1.8499999940395355,0.0
1.9515676928290015e-06,-1.8499999940395355,0.0
1.951967692834342e-06,-1.8499999940395355,0.0
1.9523676928396827e-06,-1.8499999940395355,0.0
1.9527676928450232e-06,-2.8499999940395355,0.0
1.953167692850364e-06,-1.8499999940395355,0.0
1.9535676928557044e-06,-0.8499999940395355,0.0
1.953967692861045e-06,-1.8499999940395355,-0.019999999552965164
1.9543676928663855e-06,-1.8499999940395355,-0.019999999552965164
1.954767692871726e-06,-1.8499999940395355,0.0
1.9551676928770667e-06,-2.8499999940395355,0.0
1.9555676928824072e-06,-2.8499999940395355,0.0
1.955967692887748e-06,-1.8499999940395355,0.0
1.9563676928930884e-06,-1.8499999940395355,0.0
1.956767692898429e-06,-1.8499999940395355,0.0
1.9571676929037695e-06,-1.8499999940395355,0.0
