# Time(s),Voltage(V)
1.992187500000000068e-11,-1.600000000000000077e-03
3.992187499999999947e-11,-1.600000000000000077e-03
5.992187500000000149e-11,-8.000000000000000383e-04
7.992187499999999705e-11,-8.000000000000000383e-04
9.992187499999999260e-11,-1.600000000000000077e-03
1.199218749999999882e-10,-1.600000000000000077e-03
1.399218749999999966e-10,-8.000000000000000383e-04
1.599218749999999793e-10,-8.000000000000000383e-04
1.799218749999999878e-10,-1.600000000000000077e-03
1.999218749999999962e-10,-1.600000000000000077e-03
2.199218749999999789e-10,-8.000000000000000383e-04
2.399218750000000132e-10,-8.000000000000000383e-04
2.599218749999999958e-10,-1.600000000000000077e-03
2.799218749999999785e-10,-1.600000000000000077e-03
2.999218749999999611e-10,-8.000000000000000383e-04
3.199218749999999954e-10,-8.000000000000000383e-04
3.399218749999999781e-10,-1.600000000000000077e-03
3.599218749999999607e-10,-1.600000000000000077e-03
3.799218749999999951e-10,-8.000000000000000383e-04
3.999218749999999777e-10,-8.000000000000000383e-04
4.199218749999999603e-10,-8.000000000000000383e-04
4.399218749999999947e-10,-8.000000000000000383e-04
4.599218749999999773e-10,-8.000000000000000383e-04
4.799218750000000116e-10,-8.000000000000000383e-04
4.999218750000000460e-10,0.000000000000000000e+00
5.199218749999999769e-10,0.000000000000000000e+00
5.399218750000000112e-10,-8.000000000000000383e-04
5.599218750000000456e-10,-8.000000000000000383e-04
5.799218749999999765e-10,0.000000000000000000e+00
5.999218750000000108e-10,0.000000000000000000e+00
6.199218750000000452e-10,-8.000000000000000383e-04
6.399218749999999761e-10,-8.000000000000000383e-04
6.599218750000000104e-10,0.000000000000000000e+00
6.799218750000000448e-10,0.000000000000000000e+00
6.999218749999999757e-10,0.000000000000000000e+00
7.199218750000000100e-10,-8.000000000000000383e-04
7.399218750000000444e-10,0.000000000000000000e+00
7.599218749999999753e-10,0.000000000000000000e+00
7.799218750000000096e-10,0.000000000000000000e+00
7.999218750000000440e-10,0.000000000000000000e+00
8.199218749999999749e-10,0.000000000000000000e+00
8.399218750000000092e-10,0.000000000000000000e+00
8.599218750000000436e-10,0.000000000000000000e+00
8.799218749999999745e-10,0.000000000000000000e+00
8.999218750000000088e-10,0.000000000000000000e+00
9.199218750000000432e-10,0.000000000000000000e+00
9.399218749999999741e-10,0.000000000000000000e+00
9.599218749999999050e-10,0.000000000000000000e+00
9.799218750000000428e-10,0.000000000000000000e+00
9.999218749999999737e-10,0.000000000000000000e+00
