chunk_elapsed_s,chunk_end_utc,chunk_file,chunk_plot_file,chunk_reps,chunk_start_utc,contrast_mean,cumulative_plot_file,cycle_index,loop_avg_cycle_s,loop_elapsed_s,loop_eta_finish_local,loop_eta_remaining_s,pre_chunk_reopt_mean_delta_cts_s,pre_chunk_reopt_status,reference_mean_cts_s,remaining_reps_after_chunk,reopt_fit_success_fraction,reopt_mean_delta_cts_s,reopt_mean_final_cts_s,reopt_status,reopt_x_um,reopt_y_um,reopt_z_um,run_id,signal_mean_cts_s,signal_median_cts_s,timestamp
1127.675,2026-04-01T04:49:56+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_214956.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_010.png,2000,2026-04-01T04:31:45+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_010.png,10,1127.668,12404.353,2026-04-01 10:03:32,43979.068,1490.0,success,,78000,1.0,1153.3333333333333,76923.33333333333,success,-1.5526272727272716,0.1330414141414158,-2.253273393939395,20260331_182347,68633.67375152741,68356.02094240836,20260331_214956
1127.663,2026-04-01T05:08:44+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_220844.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_011.png,2000,2026-04-01T04:50:33+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_011.png,11,1127.668,13532.017,2026-04-01 10:03:32,42851.387,1153.3333333333333,success,,76000,1.0,2303.3333333333335,77030.0,success,-1.5324252525252513,0.15324343434343624,-2.354283494949496,20260331_182347,69388.99899212428,69160.20942408375,20260331_220844
1127.609,2026-04-01T05:27:32+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_222731.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_012.png,2000,2026-04-01T05:09:21+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_012.png,12,1127.664,14659.627,2026-04-01 10:03:32,41723.554,2303.3333333333335,success,,74000,1.0,1620.0,74796.66666666667,success,-1.532425252525251,0.1936474747474768,-2.0512531919191934,20260331_182347,67193.80647002683,66747.64397905757,20260331_222731
1127.683,2026-04-01T05:46:19+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_224619.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_013.png,2000,2026-04-01T05:28:08+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_013.png,13,1127.665,15787.312,2026-04-01 10:03:32,40595.945,1620.0,success,,72000,1.0,4440.0,75676.66666666667,success,-1.3910111111111096,0.3754656565656589,-2.1522632929292946,20260331_182347,63210.31065761659,62726.70157068061,20260331_224619
1127.655,2026-04-01T06:05:07+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_230507.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_014.png,2000,2026-04-01T05:46:56+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_014.png,14,1127.665,16914.968,2026-04-01 10:03:32,39468.259,4440.0,success,,70000,1.0,1610.0,77050.0,success,-1.350607070707069,0.3956676767676792,-2.253273393939396,20260331_182347,69022.29635113318,69160.20942408375,20260331_230507
1127.598,2026-04-01T06:23:55+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_232354.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_015.png,2000,2026-04-01T06:05:44+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_015.png,15,1127.66,18042.567,2026-04-01 10:03:32,38340.456,1610.0,success,,68000,1.0,3190.0,77266.66666666667,success,-1.2293949494949474,0.45627373737374,-2.4552935959595983,20260331_182347,66269.97154757974,65943.45549738218,20260331_232354
1127.757,2026-04-01T06:42:42+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260331_234242.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_016.png,2000,2026-04-01T06:24:31+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_016.png,16,1127.666,19170.326,2026-04-01 10:03:32,37212.986,3190.0,success,,66000,1.0,2470.0,76460.0,success,-1.2293949494949477,0.43607171717172,-2.253273393939396,20260331_182347,68612.66712452167,68356.02094240836,20260331_234242
1127.67,2026-04-01T07:01:30+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_000130.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_017.png,2000,2026-04-01T06:43:19+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_017.png,17,1127.666,20297.997,2026-04-01 10:03:32,36085.328,2470.0,success,,64000,1.0,4123.333333333333,76836.66666666667,success,-1.067778787878786,0.5976878787878818,-2.1522632929292946,20260331_182347,64390.335096372524,64335.078534031396,20260401_000130
1127.653,2026-04-01T07:20:18+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_002017.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_018.png,2000,2026-04-01T07:02:07+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_018.png,18,1127.666,21425.651,2026-04-01 10:03:32,34957.642,4123.333333333333,success,,62000,1.0,2146.6666666666665,77800.0,success,-1.0071727272727253,0.6178898989899021,-2.253273393939396,20260331_182347,69203.5926755086,69160.20942408375,20260401_002017
1127.718,2026-04-01T07:39:05+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_003905.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_019.png,2000,2026-04-01T07:20:54+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_019.png,19,1127.669,22553.371,2026-04-01 10:03:32,33830.056,2146.6666666666665,success,,60000,1.0,2326.6666666666665,77696.66666666667,success,-0.9465666666666646,0.5572838383838417,-2.0512531919191943,20260331_182347,68166.9612993569,68356.02094240836,20260401_003905
