delay_us,signal1_cts_s,signal2_cts_s
0.0,0.0,1981.9354838709671
0.21158854166666669,0.0,0.0
0.22135416666666669,0.0,0.0
0.23111979166666669,0.0,1981.9354838709671
0.24088541666666669,0.0,1981.9354838709671
0.2506510416666667,0.0,0.0
0.2604166666666667,0.0,0.0
0.2701822916666667,0.0,0.0
0.2799479166666667,0.0,0.0
0.2897135416666667,0.0,0.0
0.2994791666666667,0.0,1981.9354838709671
0.3092447916666667,0.0,0.0
0.3190104166666667,0.0,1981.9354838709671
0.3287760416666667,1981.9354838709671,0.0
0.3385416666666667,0.0,0.0
0.3515625,0.0,0.0
0.361328125,1981.9354838709671,0.0
0.37109375,0.0,0.0
0.380859375,0.0,0.0
0.390625,0.0,1981.9354838709671
0.400390625,0.0,0.0
0.41015625,1981.9354838709671,3963.8709677419342
0.419921875,3963.8709677419342,0.0
0.4296875,0.0,0.0
0.439453125,0.0,0.0
0.44921875,0.0,0.0
0.458984375,0.0,0.0
0.46875,0.0,0.0
0.478515625,5945.806451612902,5945.806451612902
0.49153645833333337,0.0,0.0
0.5013020833333334,0.0,0.0
0.5110677083333334,0.0,1981.9354838709671
0.5208333333333334,0.0,0.0
0.5305989583333334,1981.9354838709671,0.0
0.5403645833333334,1981.9354838709671,0.0
0.5501302083333334,0.0,1981.9354838709671
0.5598958333333334,3963.8709677419342,0.0
0.5696614583333334,0.0,0.0
0.5794270833333334,0.0,0.0
0.5891927083333334,0.0,1981.9354838709671
0.5989583333333334,1981.9354838709671,0.0
0.6087239583333334,0.0,0.0
0.6184895833333334,0.0,1981.9354838709671
0.6315104166666667,0.0,0.0
0.6412760416666667,0.0,1981.9354838709671
0.6510416666666667,1981.9354838709671,0.0
0.6608072916666667,1981.9354838709671,0.0
0.6705729166666667,1981.9354838709671,0.0
0.6803385416666667,0.0,0.0
0.6901041666666667,1981.9354838709671,0.0
0.6998697916666667,1981.9354838709671,1981.9354838709671
0.7096354166666667,0.0,0.0
0.7194010416666667,0.0,0.0
0.7291666666666667,0.0,1981.9354838709671
0.7389322916666667,1981.9354838709671,1981.9354838709671
0.7486979166666667,3963.8709677419342,3963.8709677419342
0.7584635416666667,0.0,1981.9354838709671
0.771484375,1981.9354838709671,0.0
0.78125,1981.9354838709671,0.0
0.791015625,0.0,1981.9354838709671
0.80078125,0.0,1981.9354838709671
0.810546875,0.0,1981.9354838709671
0.8203125,0.0,0.0
0.830078125,0.0,0.0
0.83984375,0.0,1981.9354838709671
0.849609375,0.0,1981.9354838709671
0.859375,0.0,0.0
0.869140625,0.0,0.0
0.87890625,0.0,0.0
0.888671875,0.0,0.0
0.8984375,0.0,0.0
0.9114583333333334,0.0,0.0
0.9212239583333334,1981.9354838709671,0.0
0.9309895833333334,0.0,0.0
0.9407552083333334,3963.8709677419342,0.0
0.9505208333333334,0.0,0.0
0.9602864583333334,0.0,1981.9354838709671
0.9700520833333334,0.0,0.0
0.9798177083333334,0.0,0.0
0.9895833333333334,0.0,0.0
0.9993489583333334,1981.9354838709671,1981.9354838709671
1.0091145833333335,0.0,0.0
1.0188802083333335,0.0,0.0
1.0286458333333335,0.0,0.0
1.0384114583333335,0.0,0.0
1.0514322916666667,1981.9354838709671,0.0
1.0611979166666667,0.0,0.0
1.0709635416666667,1981.9354838709671,7927.7419354838685
1.0807291666666667,9909.677419354835,37656.77419354837
1.0904947916666667,37656.77419354837,63421.93548387095
1.1002604166666667,37656.77419354837,79277.41935483868
1.1100260416666667,61439.99999999998,122879.99999999996
1.1197916666666667,110988.38709677415,122879.99999999996
1.1295572916666667,107024.51612903223,150627.0967741935
1.1393229166666667,138735.4838709677,216030.96774193543
1.1490885416666667,182338.06451612897,198193.5483870967
1.1588541666666667,160536.77419354834,253687.7419354838
1.1686197916666667,164500.64516129027,259633.5483870967
1.1783854166666667,186301.9354838709,315127.74193548376
1.19140625,142699.35483870964,293326.45161290315
1.201171875,124861.93548387093,279452.90322580637
1.2109375,174410.3225806451,279452.90322580637
1.220703125,134771.61290322576,283416.7741935483
1.23046875,148645.16129032255,229904.51612903218
1.240234375,138735.4838709677,271525.1612903225
1.25,164500.64516129027,255669.67741935476
1.259765625,146663.22580645158,275489.0322580644
1.26953125,156572.9032258064,229904.51612903218
1.279296875,150627.0967741935,255669.67741935476
1.2890625,146663.22580645158,227922.58064516122
1.298828125,160536.77419354834,243778.06451612894
1.30859375,172428.38709677415,223958.70967741928
1.3216145833333335,166482.58064516124,243778.06451612894
1.3313802083333335,156572.9032258064,219994.83870967734
1.3411458333333335,190265.80645161285,231886.45161290315
1.3509114583333335,178374.19354838703,233868.38709677412
1.3606770833333335,180356.129032258,259633.5483870967
1.3704427083333335,138735.4838709677,231886.45161290315
1.3802083333333335,182338.06451612897,218012.9032258064
1.3899739583333335,194229.6774193548,218012.9032258064
1.3997395833333335,206121.29032258058,237832.25806451606
1.4095052083333335,194229.6774193548,281434.83870967734
1.4192708333333335,196211.61290322573,259633.5483870967
1.4290364583333335,188283.87096774188,231886.45161290315
1.4388020833333335,198193.5483870967,206121.29032258058
1.4485677083333335,162518.7096774193,269543.2258064515
1.4615885416666667,152609.03225806446,257651.61290322573
1.4713541666666667,225940.64516129025,243778.06451612894
1.4811197916666667,178374.19354838703,221976.7741935483
