tau_tdds,signal1,reference1,signal2,reference2,signal1_cts_s,reference1_cts_s,signal2_cts_s,reference2_cts_s,contrast
472.0,8159,7114,8213,6328,241004.30769230766,210136.61538461535,242599.3846153846,186919.3846153846,0.9934250578351395
497.0651041666667,8209,7156,8261,6568,242481.23076923072,211377.23076923075,244017.23076923072,194008.61538461535,0.9937053625469071
522.1302083333334,8180,6957,8325,6485,241624.61538461535,205499.0769230769,245907.69230769228,191556.92307692306,0.9825825825825826
547.1953125,8315,7023,8314,6453,245612.30769230766,207448.61538461535,245582.7692307692,190611.69230769228,1.00012027904739
572.2604166666666,8302,7091,8378,6572,245228.30769230766,209457.23076923075,247473.23076923072,194126.7692307692,0.9909286225829553
597.3255208333334,8353,6989,8163,6542,246734.7692307692,206444.30769230766,241122.4615384615,193240.61538461535,1.0232757564620851
622.390625,8259,7082,8369,6796,243958.15384615381,209191.3846153846,247207.3846153846,200743.3846153846,0.9868562552276258
647.4557291666667,8344,6899,8219,6746,246468.92307692303,203785.84615384613,242776.61538461535,199266.4615384615,1.015208662854362
672.5208333333334,8445,7119,8236,6821,249452.30769230766,210284.30769230766,243278.7692307692,201481.84615384613,1.0253763963088878
697.5859375,8040,7044,8379,6773,237489.23076923075,208068.92307692303,247502.7692307692,200063.99999999997,0.9595417114214106
722.6510416666667,8212,6936,8355,6943,242569.84615384613,204878.7692307692,246793.84615384613,205085.53846153844,0.982884500299222
747.7161458333334,8355,6956,8500,6929,246793.84615384613,205469.53846153844,251076.92307692303,204671.99999999997,0.9829411764705882
772.78125,8221,7059,8193,6799,242835.69230769228,208511.99999999997,242008.61538461535,200831.99999999997,1.003417551568412
797.8463541666667,8180,6964,8236,6968,241624.61538461535,205705.84615384613,243278.7692307692,205823.99999999997,0.9932005828071879
822.9114583333334,8285,7259,8241,6931,244726.15384615381,214419.69230769228,243426.4615384615,204731.0769230769,1.0053391578691906
847.9765625,8287,7132,8259,6965,244785.23076923072,210668.30769230766,243958.15384615381,205735.3846153846,1.0033902409492674
873.0416666666667,8188,6949,8239,6895,241860.92307692303,205262.7692307692,243367.3846153846,203667.69230769228,0.9938099283893677
898.1067708333334,8095,7063,8213,6947,239113.84615384613,208630.15384615381,242599.3846153846,205203.69230769228,0.9856325337878973
923.171875,8211,6890,8248,6758,242540.30769230766,203519.99999999997,243633.23076923072,199620.92307692306,0.9955140640155189
948.2369791666667,8319,7060,8322,6712,245730.4615384615,208541.53846153844,245819.07692307688,198262.15384615381,0.9996395097332372
973.3020833333334,8268,7045,8257,6661,244223.99999999997,208098.4615384615,243899.07692307688,196755.69230769228,1.0013322029792904
998.3671875,8335,7194,8398,6885,246203.07692307688,212499.69230769228,248063.99999999997,203372.30769230766,0.992498213860443
1023.4322916666667,8202,7022,8368,6523,242274.4615384615,207419.0769230769,247177.84615384613,192679.3846153846,0.9801625239005736
1048.4973958333335,8275,6964,8374,6785,244430.7692307692,205705.84615384613,247355.07692307688,200418.4615384615,0.9881776928588488
1073.5625,8252,7009,8262,6712,243751.3846153846,207035.0769230769,244046.7692307692,198262.15384615381,0.9987896393125151
1098.6276041666667,8139,7064,8168,6822,240413.53846153844,208659.69230769228,241270.15384615381,201511.3846153846,0.9964495592556317
1123.6927083333335,8197,6962,8187,6675,242126.7692307692,205646.7692307692,241831.3846153846,197169.23076923075,1.0012214486380848
1148.7578125,8239,7070,8320,6591,243367.3846153846,208836.92307692303,245759.99999999997,194687.99999999997,0.9902644230769231
1173.8229166666667,8247,6970,8197,6716,243603.69230769228,205883.0769230769,242126.7692307692,198380.30769230766,1.0060997926070514
