chunk_end_utc,chunk_file,chunk_plot_file,chunk_reps,chunk_start_utc,contrast_mean,cumulative_plot_file,cycle_index,loop_avg_cycle_s,loop_elapsed_s,loop_eta_finish_local,loop_eta_remaining_s,pre_chunk_reopt_mean_delta_cts_s,pre_chunk_reopt_status,reference_mean_cts_s,remaining_reps_after_chunk,reopt_fit_success_fraction,reopt_mean_delta_cts_s,reopt_mean_final_cts_s,reopt_status,reopt_x_um,reopt_y_um,reopt_z_um,run_id,signal_mean_cts_s,signal_median_cts_s,timestamp
2026-03-22T03:12:21+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\cpmg_xy_fine_res_chunk_20260321_201220.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\plots\chunk_cts_cycle_000.png,7500,2026-03-22T03:02:09+00:00,0.8487961275619239,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\plots\cumulative_cycle_000.png,0,648.146,648.146,2026-03-21 22:33:23,8425.897,,manual_initial,220060.94887148772,92500,1.0,1793.3333333333333,256646.66666666666,success,-2.1459999999999995,-0.8847979797979797,-2.8049797979797972,20260321_200209,186416.582220175,186289.23076923072,20260321_201220
2026-03-22T03:23:08+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\cpmg_xy_fine_res_chunk_20260321_202308.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\plots\chunk_cts_cycle_001.png,7500,2026-03-22T03:12:57+00:00,0.8382826635956547,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\plots\cumulative_cycle_001.png,1,647.721,1295.441,2026-03-21 22:33:17,7772.647,1793.3333333333333,success,219197.7890373099,85000,1.0,2216.6666666666665,255403.33333333334,success,-2.1257979797979787,-0.9656060606060602,-2.8049797979797972,20260321_200209,183445.0483648088,182350.7692307692,20260321_202308
2026-03-22T03:33:55+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\cpmg_xy_fine_res_chunk_20260321_203355.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\plots\chunk_cts_cycle_002.png,7500,2026-03-22T03:23:45+00:00,0.8425217932378557,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\plots\cumulative_cycle_002.png,2,647.603,1942.81,2026-03-21 22:33:16,7123.636,2216.6666666666665,success,218704.89175495165,77500,1.0,2756.6666666666665,255060.0,success,-2.186404040404039,-1.127222222222222,-2.703969696969696,20260321_200209,183843.61123906032,183532.30769230766,20260321_203355
2026-03-22T03:44:43+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\cpmg_xy_fine_res_chunk_20260321_204442.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\plots\chunk_cts_cycle_003.png,7500,2026-03-22T03:34:32+00:00,0.8407348363463581,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\plots\cumulative_cycle_003.png,3,647.544,2590.176,2026-03-21 22:33:15,6475.44,2756.6666666666665,success,217410.1520036849,70000,1.0,3183.3333333333335,256586.66666666666,success,-2.2268080808080786,-1.2282323232323225,-2.8049797979797972,20260321_200209,182416.803316444,182744.61538461535,20260321_204442
2026-03-22T03:55:30+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\cpmg_xy_fine_res_chunk_20260321_205530.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\plots\chunk_cts_cycle_004.png,7500,2026-03-22T03:45:19+00:00,0.8397876231361001,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260321_200209\plots\cumulative_cycle_004.png,4,647.506,3237.532,2026-03-21 22:33:14,5827.558,3183.3333333333335,success,215613.08152924912,62500,1.0,3943.3333333333335,257716.66666666666,success,-2.3480202020201997,-1.3090404040404031,-2.9059898989898976,20260321_200209,180794.25149700596,180381.5384615384,20260321_205530
